candidate_id,identity_key,name_en_candidate,vendor_body_tags,body_part_candidates_ko,equipment_candidates,recording_type_candidates,source_count,male_count,female_count,duplicate_review_group_id,duplicate_review_key,default_male_media_id_candidate,default_female_media_id_candidate,media_pairing_status,name_ko,primary_muscles_ko,secondary_muscles_ko,movement_pattern,posture_context,catalog_status,qa_status
gvc_a9622e7d0001,seated leg raises on a chair,Seated Leg Raises On A Chair,Waist,코어,,,1,1,0,gvr_a9622e7d0001,seated leg raises on a chair,gv_m_bf59131580,,male_only,,,,,,review,auto_candidate
gvc_98b2134de7a0,seated legs circle over bench,Seated Legs Circle Over Bench,Waist,코어,,,1,1,0,gvr_98b2134de7a0,seated legs circle over bench,gv_m_6207952445,,male_only,,,,,,review,auto_candidate
gvc_e527bc700c83,seated lower back stretch,Seated Lower Back Stretch,Back,등,,duration,2,1,1,gvr_e527bc700c83,seated lower back stretch,gv_m_85f8f1f43d,gv_f_0c4732e577,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_e12aa45ca38a,seated lumbar extension flexion on stability ball,Seated Lumbar Extension Flexion On Stability Ball,,,Stability Ball,,1,0,1,gvr_e12aa45ca38a,seated lumbar extension flexion on stability ball,,gv_f_ba24b4d2c4,female_only,,,,,,review,auto_candidate
gvc_deb54fc8f857,seated marching on a chair,Seated Marching On A Chair,Hips,하체,,,1,1,0,gvr_deb54fc8f857,seated marching on a chair,gv_m_3505764229,,male_only,,,,,,review,auto_candidate
gvc_a855e2122714,seated neck backward stretch,Seated Neck Backward Stretch,Stretching,,,,1,1,0,gvr_a855e2122714,seated neck backward stretch,gv_m_e60ac6701e,,male_only,,,,,,review,auto_candidate
gvc_8432453a7cf9,seated neck rotation,Seated Neck Rotation,Neck,기타,,,2,1,1,gvr_8432453a7cf9,seated neck rotation,gv_m_3664e7717f,gv_f_e1de0e189f,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_af29e42005c6,seated neck side stretch,Seated Neck Side Stretch,Stretching,,,,1,1,0,gvr_af29e42005c6,seated neck side stretch,gv_m_3f5e3a3232,,male_only,,,,,,review,auto_candidate
gvc_b5238e6ff746,seated neck side upward stretch,Seated Neck Side Upward Stretch,Stretching,,,,1,1,0,gvr_b5238e6ff746,seated neck side upward stretch,gv_m_a9557b9df6,,male_only,,,,,,review,auto_candidate
gvc_63b0bc53b761,seated neck stretch,Seated Neck Stretch,Stretching,,,,2,1,1,gvr_63b0bc53b761,seated neck stretch,gv_m_109e251273,gv_f_c2dc897f67,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_3668ac1f181a,seated neck tap,Seated Neck Tap,Upper-Arms,팔,,,1,0,1,gvr_3668ac1f181a,seated neck tap,,gv_f_0c3d401595,female_only,,,,,,review,auto_candidate
gvc_f6919abf8d67,seated open knee leg raise on a chair,Seated Open Knee Leg Raise On A Chair,Waist,코어,,reps,1,1,0,gvr_f6919abf8d67,seated open knee leg raise on a chair,gv_m_1e48650ed9,,male_only,,,,,,review,auto_candidate
gvc_c5e0decb522c,seated open up and under swing on a chair c,Seated Open Up And Under Swing On A Chair C,,,,,1,1,0,gvr_c5e0decb522c,seated open up and under swing on a chair c,gv_m_ff08847184,,male_only,,,,,,review,auto_candidate
gvc_a19f5c22f1a2,seated open wings,Seated Open Wings,Back,등,,,2,1,1,gvr_a19f5c22f1a2,seated open wings,gv_m_9a3e1dddf1,gv_f_a23c4cf3ce,paired_1_to_1_auto,,,,,,review,auto_candidate
