merge_key,candidate_count,candidate_ids,candidate_names,male_source_count,female_source_count,total_source_count,equipment,body_parts_ko,merge_reasons,qa_result
lying side quadriceps stretch,2,gvc_16c72310199f;gvc_3ec9f28d9abf,Lying (side) Quadriceps Stretch | Side Lying Quadriceps Stretch,1,1,2,,하체,word_order_only,MERGE_IDENTITY
mid air lateral raise with switching palms,2,gvc_5488f10038c1;gvc_42e2103a3645,Mid Air Lateral Raises With Switching Palms | Mid Air Lateral Raises With Switching Palms (femal,1,1,2,,어깨,normalized_exact,MERGE_IDENTITY
opposite arm and leg raise against wall,2,gvc_3f882b19b064;gvc_bb4a974e75b5,Opposite Arm And Leg Raise Against Wall | Opposite Arm And Leg Raise Against Wall H,1,1,2,,하체,truncated_suffix,MERGE_IDENTITY
push up,2,gvc_a0c5e94bb1dc;gvc_ed8a70904a16,Push Up | Push Up M,1,1,2,,가슴,normalized_exact,MERGE_IDENTITY
roll front shoulder and chest lying on floor,2,gvc_7986fc387180;gvc_8864845d272d,Roll Front Shoulder And Chest Lying On Floor | Roll Front Shoulder And Chest Lying On Floor (fema,1,1,2,,가슴,normalized_exact,MERGE_IDENTITY
roll peroneal single leg side lying on floor,2,gvc_0d49f1f1b7bb;gvc_6974cabb41e9,Roll Peroneal (single Leg) Side Lying On Floor (fe | Roll Peroneal (single Leg) Side Lying On Floor Cal,1,1,2,,,truncated_suffix,MERGE_IDENTITY
seated air twisting crunch on a padded stool,2,gvc_640101eee4b0;gvc_a2fd40f72eb9,Sitting Air Twisting Crunch On A Padded Stool | Sitting Air Twisting Crunch On A Padded Stool (fem,1,1,2,,코어,normalized_exact,MERGE_IDENTITY
seated alternate abduction twist on a chair,2,gvc_2d01e90de679;gvc_c29115705bf3,Sitting Alternate Abduction Twist On A Chair ( | Sitting Alternate Abduction Twist On A Chair (fema,1,1,2,,,normalized_exact,MERGE_IDENTITY
seated external rotation on a chair,2,gvc_2106188b388b;gvc_093ca4b8aba2,Seated External Rotation On A Chair | Sitting External Rotation On A Chair,1,1,2,,등,normalized_exact,MERGE_IDENTITY
seated incline press step out on a padded stool,2,gvc_401e4a7c3235;gvc_e318dad3166d,Sitting Incline Press Stepout On A Padded Stool | Sitting Incline Press Stepout On A Padded Stool (f,1,1,2,,어깨,normalized_exact,MERGE_IDENTITY
seated internal and external shoulder rotation,2,gvc_85bbc176ccc5;gvc_859dad76ccac,Seated Internal And External Shoulder Rotation (fe | Seated Internal And External Shoulder Rotation (ma,1,1,2,,,normalized_exact,MERGE_IDENTITY
seated jack on a chair,2,gvc_f8ec1d99bd30;gvc_1b67d7f942cc,Seated Jack On A Chair | Sitting Jack On A Chair,1,1,2,,하체,normalized_exact,MERGE_IDENTITY
seated lateral raise step out on a padded stool,2,gvc_4bceeda03ba0;gvc_238622ca0abe,Sitting Lateral Raise Stepout On A Padded Stool | Sitting Lateral Raise Stepout On A Padded Stool (f,1,1,2,,어깨,normalized_exact,MERGE_IDENTITY
